order_id,customer_id,product_id,order_quantity
OD234,C094,POR9842,22
OD235,C171,POT7163,1
OD235,C171,ALM3698,14
OD236,C171,GIN3698,8
OD236,C171,ORA7195,24
OD237,C072,SPA2196,24
OD237,C072,CHE7195,13
OD238,C112,DAR3985,16
OD238,C112,TOR5847,21
OD239,C117,SPA2196,13
OD239,C117,COF2456,5
OD240,C149,SAL4826,13
OD240,C149,PEC4821,15
OD242,C168,TOR5847,18
OD242,C168,SPA2196,24
OD243,C106,SAL9518,1
OD243,C106,HAM5298,9
OD244,C140,BRO9812,4
OD244,C140,BLA3198,19
OD245,C147,ORA7824,24
OD245,C147,CHO8512,9
OD246,C179,MOZ5826,13
OD247,C158,TIG7291,17
OD247,C158,JUM1568,14
OD247,C158,CAS9812,20
OD249,C095,VOD4815,12
OD250,C169,SAL4826,13
OD250,C169,ORA7824,6
OD251,C180,BLA3198,19
OD251,C180,HAM5298,24
OD254,C184,LAR3698,16
OD254,C184,TOR5847,7
OD255,C195,PIS2178,8
OD255,C195,SWI6315,13
OD257,C192,MIN6587,15
OD257,C192,CHO8512,15
OD258,C083,WHI4826,15
OD258,C083,SOY4826,21
OD259,C144,MIN6587,23
OD259,C144,FLA8217,17
OD260,C057,BAS9145,25
OD260,C057,BAN4156,14
OD261,C118,HAM5298,22
OD261,C118,SWI6315,24
OD262,C085,BEE8923,11
OD262,C085,APL8923,1
OD263,C133,JUM1568,7
OD263,C133,LAR3698,5
OD264,C137,SPI1472,1
OD264,C137,SWI6315,1
OD265,C110,BEE9518,3
OD266,C054,COF2456,19
OD266,C054,LEM4821,20
OD266,C054,BEE9518,19
OD267,C155,SPR4152,17
OD267,C155,COL8215,4
OD269,C178,POR2175,20
OD269,C178,SAL4826,14
OD270,C161,BRO9812,1
OD270,C161,DAR3985,19
OD272,C175,BBQ9154,11
OD272,C175,BRO3251,2
OD273,C084,APL8923,19
OD273,C084,WHI2156,1
OD274,C160,TIG7291,13
OD274,C160,SPA2196,19
OD275,C108,BEE9518,13
OD275,C108,TIG7291,21
OD276,C095,SWI6315,25
OD277,C190,CHE7195,24
OD277,C190,BRO9812,5
OD277,C190,MIN6742,24
OD278,C195,JUM1568,10
OD278,C195,PEC4821,20
OD279,C074,FRE4821,21
OD279,C074,SOY4826,12
OD280,C061,COF2456,1
OD280,C061,ORA7195,10
OD281,C061,APL8923,3
OD281,C061,MIL3456,2
OD282,C127,PEP9154,4
OD282,C127,ROS3861,4
OD283,C088,EUR2156,22
OD284,C142,EUR2156,10
OD284,C142,ESP4821,19
OD284,C142,MIN6742,24
OD288,C058,POR6315,21
OD288,C058,UNS6742,17
OD289,C082,GUM9518,11
OD290,C062,HAM5298,8
OD291,C156,MIN6742,12
OD291,C156,BAS9145,12
OD292,C109,WHO2178,22
OD293,C120,BAS9145,14
OD293,C120,MIN6742,8
OD293,C120,POR6315,12
OD294,C162,WHI4826,4
OD295,C109,CHI9513,13
OD295,C109,ESP4821,4
OD295,C109,MIN6742,5
OD295,C109,POR6315,4
OD295,C109,BEE8923,2
OD296,C157,CAS9812,7
OD297,C177,BEE8923,14
OD298,C189,CAR2198,4
OD299,C091,SPA2196,2
OD300,C139,UNS6742,3
OD302,C053,TIG7291,13
OD303,C136,SWI6315,20
OD304,C087,WHO2178,18
OD304,C087,MIN6742,2
OD305,C196,ESP4821,3
OD305,C196,CHO8512,4
OD306,C081,ROS3861,13
OD307,C086,HAM5298,4
OD307,C086,MIN6742,7
OD307,C086,BAN4156,19
OD308,C175,PIN9154,13
OD312,C059,APL8923,20
OD313,C183,SOU4815,2
OD314,C074,CHO8512,4
OD314,C074,BAN4156,3
OD314,C074,MIN6587,4
